Day,KOSPI지수,KOSDAQ지수
2003-04-03,545.24 ,387.70 
2003-04-04,558.01 ,394.10 
2003-04-07,585.90 ,411.20 
2003-04-08,587.32 ,411.90 
2003-04-09,569.47 ,404.90 
2003-04-10,577.73 ,408.10 
2003-04-11,582.97 ,410.80 
2003-04-14,594.40 ,419.70 
2003-04-15,604.99 ,429.60 
2003-04-16,621.34 ,442.20 
2003-04-17,612.72 ,439.40 
2003-04-18,624.77 ,448.30 
2003-04-21,620.83 ,454.60 
2003-04-22,603.32 ,444.40 
2003-04-23,598.09 ,439.50 
2003-04-24,588.35 ,430.50 
2003-04-25,566.63 ,408.90 
2003-04-28,569.02 ,408.50 
2003-04-29,597.36 ,430.50 
2003-04-30,599.35 ,428.00 
2003-05-02,597.44 ,432.90 
2003-05-06,604.33 ,432.60 
2003-05-07,618.08 ,436.30 
2003-05-09,619.11 ,437.70 
2003-05-12,631.04 ,449.60 
2003-05-13,614.07 ,440.50 
2003-05-14,609.97 ,440.10 
2003-05-15,619.35 ,441.40 
2003-05-16,610.81 ,439.80 
2003-05-19,596.36 ,431.10 
2003-05-20,602.08 ,439.60 
2003-05-21,600.57 ,441.70 
2003-05-22,595.38 ,443.90 
2003-05-23,611.51 ,456.30 
2003-05-26,617.65 ,472.40 
2003-05-27,614.30 ,472.50 
2003-05-28,628.36 ,470.30 
2003-05-29,632.43 ,470.90 
2003-05-30,633.42 ,471.80 
2003-06-02,648.71 ,476.70 
2003-06-03,636.94 ,465.90 
2003-06-04,640.27 ,473.70 
2003-06-05,642.38 ,472.60 
2003-06-09,650.35 ,481.90 
2003-06-10,649.75 ,481.80 
2003-06-11,651.29 ,482.90 
2003-06-12,657.95 ,492.60 
2003-06-13,665.24 ,497.50 
2003-06-16,657.82 ,500.20 
2003-06-17,674.66 ,506.30 
2003-06-18,675.75 ,505.50 
2003-06-19,690.49 ,508.60 
2003-06-20,686.22 ,508.00 
2003-06-23,674.59 ,493.60 
2003-06-24,664.01 ,489.40 
2003-06-25,674.03 ,493.10 
2003-06-26,675.75 ,490.10 
2003-06-27,677.28 ,496.80 
2003-06-30,669.93 ,497.50 
2003-07-01,674.75 ,501.70 
2003-07-02,685.80 ,507.40 
2003-07-03,686.83 ,508.20 
2003-07-04,693.25 ,515.90 
2003-07-07,704.29 ,532.10 
2003-07-08,708.34 ,531.00 
2003-07-09,705.50 ,535.00 
2003-07-10,700.51 ,527.90 
2003-07-11,704.15 ,525.50 
2003-07-14,720.10 ,531.20 
2003-07-15,713.45 ,520.70 
2003-07-16,716.48 ,522.20 
2003-07-18,699.35 ,506.00 
2003-07-21,693.50 ,494.90 
2003-07-22,699.70 ,490.20 
2003-07-23,695.74 ,487.60 
2003-07-24,702.94 ,487.70 
2003-07-25,705.09 ,490.10 
2003-07-28,717.80 ,503.80 
2003-07-29,722.33 ,501.20 
2003-07-30,714.15 ,494.70 
2003-07-31,713.52 ,493.30 
2003-08-01,727.26 ,496.60 
2003-08-04,718.54 ,485.30 
2003-08-05,721.84 ,487.20 
2003-08-06,707.88 ,482.40 
2003-08-07,709.81 ,484.70 
2003-08-08,704.14 ,481.60 
2003-08-11,704.58 ,482.80 
2003-08-12,701.30 ,483.10 
2003-08-13,713.08 ,488.50 
2003-08-14,727.01 ,487.60 
2003-08-18,730.10 ,490.90 
2003-08-19,740.13 ,491.00 
2003-08-20,737.20 ,487.80 
2003-08-21,754.34 ,492.20 
2003-08-22,754.72 ,489.40 
2003-08-25,756.73 ,494.00 
2003-08-26,753.00 ,487.90 
2003-08-27,758.98 ,488.30 
2003-08-28,752.81 ,485.50 
2003-08-29,759.47 ,495.40 
2003-09-01,764.11 ,505.30 
2003-09-02,766.50 ,508.70 
2003-09-03,766.32 ,505.60 
2003-09-04,764.15 ,501.00 
2003-09-05,761.55 ,496.50 
2003-09-08,760.25 ,488.30 
2003-09-09,767.46 ,491.90 
2003-09-15,753.61 ,492.30 
2003-09-16,763.63 ,496.50 
2003-09-17,766.59 ,496.50 
2003-09-18,758.18 ,487.50 
2003-09-19,748.25 ,483.70 
2003-09-22,714.89 ,460.30 
2003-09-23,718.84 ,463.50 
2003-09-24,724.70 ,467.10 
2003-09-25,713.52 ,456.90 
2003-09-26,697.40 ,451.00 
2003-09-29,696.06 ,448.50 
2003-09-30,697.52 ,448.60 
2003-10-01,704.29 ,451.90 
2003-10-02,715.24 ,459.20 
2003-10-06,723.13 ,465.30 
2003-10-07,727.09 ,464.10 
2003-10-08,722.76 ,459.60 
2003-10-09,736.16 ,464.40 
2003-10-10,757.89 ,470.00 
2003-10-13,757.02 ,476.10 
2003-10-14,766.52 ,479.50 
2003-10-15,764.23 ,481.40 
2003-10-16,776.97 ,481.70 
2003-10-17,767.75 ,475.50 
2003-10-20,776.44 ,477.00 
2003-10-21,779.89 ,478.00 
2003-10-22,779.28 ,474.20 
2003-10-23,754.14 ,459.00 
2003-10-24,748.17 ,459.90 
2003-10-27,761.61 ,463.70 
2003-10-28,775.36 ,468.50 
2003-10-29,779.66 ,465.40 
2003-10-30,785.94 ,468.40 
2003-10-31,782.36 ,463.80 
2003-11-03,791.96 ,466.40 
2003-11-04,796.06 ,462.30 
2003-11-05,805.51 ,460.00 
2003-11-06,790.04 ,449.60 
2003-11-07,804.05 ,457.00 
2003-11-10,796.56 ,457.10 
2003-11-11,787.77 ,454.50 
2003-11-12,796.31 ,463.10 
2003-11-13,813.11 ,469.70 
2003-11-14,809.89 ,469.00 
2003-11-17,794.47 ,467.90 
2003-11-18,800.97 ,475.10 
2003-11-19,771.70 ,460.90 
2003-11-20,769.45 ,459.70 
2003-11-21,770.78 ,456.70 
2003-11-24,753.65 ,438.10 
2003-11-25,768.11 ,448.20 
2003-11-26,782.65 ,454.90 
2003-11-27,781.68 ,453.50 
2003-11-28,796.18 ,458.40 
2003-12-01,807.39 ,468.50 
2003-12-02,807.78 ,470.80 
2003-12-03,808.34 ,471.70 
2003-12-04,805.13 ,473.70 
2003-12-05,789.41 ,470.80 
2003-12-08,784.80 ,469.00 
2003-12-09,787.35 ,468.80 
2003-12-10,794.64 ,466.20 
2003-12-11,791.13 ,468.20 
2003-12-12,806.08 ,471.10 
2003-12-15,822.16 ,476.00 
2003-12-16,810.79 ,467.00 
2003-12-17,800.09 ,463.40 
2003-12-18,807.50 ,460.40 
2003-12-19,811.20 ,454.50 
2003-12-22,804.54 ,441.50 
2003-12-23,801.88 ,435.50 
2003-12-24,792.55 ,430.90 
2003-12-26,788.85 ,432.50 
2003-12-29,792.44 ,440.50 
2003-12-30,810.71 ,448.70 
2003-12-31,,
2004-01-02,821.26 ,451.40 
2004-01-05,824.10 ,452.70 
2004-01-06,823.43 ,447.30 
2004-01-07,827.07 ,446.10 
2004-01-08,824.15 ,444.10 
2004-01-09,845.27 ,453.00 
2004-01-12,850.79 ,458.00 
2004-01-13,848.43 ,457.00 
2004-01-14,849.62 ,458.40 
2004-01-15,845.66 ,450.00 
2004-01-16,847.95 ,445.40 
2004-01-19,856.80 ,441.50 
2004-01-20,861.37 ,445.70 
2004-01-26,869.04 ,448.25 
2004-01-27,863.03 ,445.04 
2004-01-28,859.59 ,441.46 
2004-01-29,853.47 ,442.15 
2004-01-30,848.50 ,441.45 
2004-02-02,854.89 ,444.51 
2004-02-03,839.87 ,437.81 
2004-02-04,835.50 ,437.45 
2004-02-05,840.92 ,436.87 
2004-02-06,850.23 ,437.32 
2004-02-09,864.77 ,439.78 
2004-02-10,866.80 ,438.96 
2004-02-11,876.34 ,440.10 
2004-02-12,877.95 ,437.47 
2004-02-13,882.18 ,442.91 
2004-02-16,881.28 ,446.13 
2004-02-17,884.80 ,444.88 
2004-02-18,877.10 ,448.02 
2004-02-19,881.65 ,445.67 
2004-02-20,877.49 ,443.31 
2004-02-23,877.52 ,443.89 
2004-02-24,864.59 ,433.68 
2004-02-25,866.87 ,428.93 
2004-02-26,864.86 ,424.57 
2004-02-27,883.42 ,428.68 
2004-03-02,899.21 ,430.64 
2004-03-03,895.81 ,434.77 
2004-03-04,907.43 ,437.64 
2004-03-05,905.38 ,440.21 
2004-03-08,900.10 ,439.38 
2004-03-09,891.58 ,438.08 
2004-03-10,876.02 ,433.40 
2004-03-11,869.93 ,435.25 
2004-03-12,848.80 ,420.28 
2004-03-15,852.26 ,425.26 
2004-03-16,850.13 ,423.01 
2004-03-17,872.38 ,431.39 
2004-03-18,872.82 ,435.41 
2004-03-19,883.33 ,435.96 
2004-03-22,863.69 ,429.71 
2004-03-23,866.17 ,428.56 
2004-03-24,861.72 ,428.02 
2004-03-25,853.38 ,421.95 
2004-03-26,863.95 ,426.02 
2004-03-29,874.67 ,432.30 
2004-03-30,873.46 ,431.39 
2004-03-31,880.50 ,434.16 
2004-04-01,882.75 ,439.00 
2004-04-02,883.69 ,446.85 
2004-04-06,906.19 ,455.37 
2004-04-07,909.93 ,457.68 
2004-04-08,916.86 ,460.53 
2004-04-09,905.44 ,457.92 
2004-04-12,918.86 ,460.37 
2004-04-13,917.63 ,454.43 
2004-04-14,916.31 ,454.20 
2004-04-16,898.88 ,454.13 
2004-04-19,902.10 ,457.86 
2004-04-20,918.90 ,465.02 
2004-04-21,929.95 ,468.81 
2004-04-22,924.01 ,475.88 
2004-04-23,936.06 ,488.13 
2004-04-26,919.74 ,491.53 
2004-04-27,915.47 ,488.15 
2004-04-28,901.83 ,478.70 
2004-04-29,875.41 ,456.04 
2004-04-30,862.84 ,453.47 
2004-05-03,866.11 ,452.87 
2004-05-04,867.48 ,458.80 
2004-05-06,837.68 ,437.33 
2004-05-07,838.74 ,436.25 
2004-05-10,790.68 ,407.41 
2004-05-11,791.02 ,401.47 
2004-05-12,817.09 ,417.94 
2004-05-13,790.13 ,415.09 
2004-05-14,768.46 ,404.93 
2004-05-17,728.98 ,375.75 
2004-05-18,741.99 ,382.11 
2004-05-19,777.95 ,397.11 
2004-05-20,767.79 ,385.32 
2004-05-21,786.36 ,393.01 
2004-05-24,799.64 ,400.56 
2004-05-25,784.06 ,393.42 
2004-05-27,802.46 ,397.84 
2004-05-28,816.51 ,401.59 
2004-05-31,803.84 ,400.92 
2004-06-01,815.77 ,405.90 
2004-06-02,804.39 ,407.83 
2004-06-03,770.06 ,394.93 
2004-06-04,780.74 ,397.85 
2004-06-07,809.45 ,404.57 
2004-06-08,809.31 ,402.01 
2004-06-09,794.53 ,400.63 
2004-06-10,782.30 ,400.09 
2004-06-11,751.53 ,387.76 
2004-06-14,738.79 ,375.68 
2004-06-15,752.10 ,379.27 
2004-06-16,752.34 ,376.71 
2004-06-17,760.09 ,375.02 
2004-06-18,741.73 ,370.20 
2004-06-21,749.30 ,369.12 
2004-06-22,746.48 ,366.28 
2004-06-23,738.93 ,361.17 
2004-06-24,763.13 ,366.41 
2004-06-25,779.03 ,371.94 
2004-06-28,770.95 ,372.03 
2004-06-29,778.72 ,376.67 
2004-06-30,785.79 ,385.18 
2004-07-01,778.03 ,383.84 
2004-07-02,755.42 ,376.13 
2004-07-05,756.72 ,376.51 
2004-07-06,758.47 ,375.35 
2004-07-07,761.88 ,372.65 
2004-07-08,743.64 ,366.90 
2004-07-09,747.46 ,370.14 
2004-07-12,746.27 ,368.57 
2004-07-13,750.95 ,368.27 
2004-07-14,736.57 ,361.62 
2004-07-15,732.74 ,357.69 
2004-07-16,739.39 ,358.73 
2004-07-19,750.40 ,360.48 
2004-07-20,737.00 ,354.26 
2004-07-21,753.32 ,358.94 
2004-07-22,742.63 ,351.69 
2004-07-23,737.51 ,350.20 
2004-07-26,736.21 ,344.35 
2004-07-27,738.51 ,341.50 
2004-07-28,744.42 ,340.10 
2004-07-29,730.61 ,328.44 
2004-07-30,735.34 ,331.21 
2004-08-02,719.59 ,325.18 
2004-08-03,726.44 ,325.66 
2004-08-04,729.41 ,324.71 
2004-08-05,743.35 ,333.81 
2004-08-06,733.95 ,331.67 
2004-08-09,742.13 ,333.90 
2004-08-10,748.62 ,338.86 
2004-08-11,753.06 ,337.74 
2004-08-12,766.70 ,343.45 
2004-08-13,776.02 ,346.09 
2004-08-16,773.85 ,346.27 
2004-08-17,771.03 ,345.66 
2004-08-18,773.19 ,346.54 
2004-08-19,788.53 ,351.42 
2004-08-20,787.64 ,350.63 
2004-08-23,787.65 ,352.05 
2004-08-24,792.34 ,354.12 
2004-08-25,803.97 ,356.32 
2004-08-26,810.21 ,358.79 
2004-08-27,810.30 ,357.78 
2004-08-30,805.19 ,353.47 
2004-08-31,803.57 ,355.66 
2004-09-01,817.36 ,365.74 
2004-09-02,823.83 ,369.53 
2004-09-03,820.69 ,367.53 
2004-09-06,824.21 ,368.16 
2004-09-07,818.80 ,366.69 
2004-09-08,815.85 ,365.19 
2004-09-09,821.88 ,366.81 
2004-09-10,836.34 ,370.31 
2004-09-13,851.91 ,374.59 
2004-09-14,851.42 ,371.99 
2004-09-15,850.63 ,372.26 
2004-09-16,855.38 ,371.38 
2004-09-17,848.11 ,371.05 
2004-09-20,856.87 ,372.93 
2004-09-21,857.15 ,372.19 
2004-09-22,835.10 ,364.01 
2004-09-23,829.68 ,359.53 
2004-09-24,832.10 ,362.25 
2004-09-30,835.09 ,362.08 
2004-10-01,846.01 ,365.65 
2004-10-04,880.84 ,371.66 
2004-10-05,884.84 ,373.63 
2004-10-06,887.45 ,372.33 
2004-10-07,885.33 ,370.52 
2004-10-08,881.38 ,369.74 
2004-10-11,881.11 ,373.94 
2004-10-12,858.09 ,369.11 
2004-10-13,856.18 ,372.54 
2004-10-14,846.63 ,369.95 
2004-10-15,841.94 ,369.28 
2004-10-18,848.27 ,368.36 
2004-10-19,855.77 ,370.04 
2004-10-20,828.61 ,362.65 
2004-10-21,820.63 ,358.25 
2004-10-22,828.17 ,359.27 
2004-10-25,808.14 ,353.49 
2004-10-26,813.70 ,353.45 
2004-10-27,809.91 ,350.70 
2004-10-28,833.54 ,355.57 
2004-10-29,834.84 ,357.04 
2004-11-01,835.66 ,359.51 
2004-11-02,846.67 ,360.75 
2004-11-03,861.05 ,362.59 
2004-11-04,851.20 ,361.27 
2004-11-05,860.68 ,362.70 
2004-11-08,846.11 ,360.18 
2004-11-09,844.15 ,360.27 
2004-11-10,860.54 ,361.98 
2004-11-11,861.26 ,362.94 
2004-11-12,876.67 ,368.80 
2004-11-15,882.33 ,372.91 
2004-11-16,876.61 ,370.90 
2004-11-17,885.42 ,375.89 
2004-11-18,875.84 ,372.56 
2004-11-19,867.03 ,372.53 
2004-11-22,849.99 ,369.56 
2004-11-23,860.40 ,373.22 
2004-11-24,872.56 ,374.17 
2004-11-25,872.49 ,373.84 
2004-11-26,858.12 ,369.54 
2004-11-29,865.40 ,370.26 
2004-11-30,878.06 ,373.43 
2004-12-01,876.80 ,376.16 
2004-12-02,884.10 ,379.34 
2004-12-03,882.55 ,378.72 
2004-12-06,870.75 ,378.28 
2004-12-07,861.07 ,376.89 
2004-12-08,871.74 ,375.28 
2004-12-09,861.31 ,375.50 
2004-12-10,844.85 ,372.08 
2004-12-13,844.20 ,372.13 
2004-12-14,849.40 ,372.74 
2004-12-15,868.84 ,379.32 
2004-12-16,873.70 ,380.22 
2004-12-17,875.13 ,381.44 
2004-12-20,884.31 ,382.71 
2004-12-21,882.82 ,380.47 
2004-12-22,883.38 ,380.54 
2004-12-23,876.88 ,376.65 
2004-12-24,879.92 ,375.12 
2004-12-27,876.98 ,374.46 
2004-12-28,878.43 ,370.77 
2004-12-29,884.27 ,372.80 
2004-12-30,895.92 ,380.33 
2004-12-31,,
2005-01-03,893.71 ,390.40 
2005-01-04,886.90 ,393.00 
2005-01-05,885.19 ,399.68 
2005-01-06,871.28 ,404.15 
2005-01-07,870.84 ,408.17 
2005-01-10,874.18 ,418.71 
2005-01-11,884.29 ,416.56 
2005-01-12,880.03 ,414.63 
2005-01-13,885.54 ,423.06 
2005-01-14,905.10 ,428.40 
2005-01-17,923.08 ,446.04 
2005-01-18,920.57 ,449.02 
2005-01-19,916.27 ,455.59 
2005-01-20,909.37 ,450.63 
2005-01-21,919.61 ,460.62 
2005-01-24,923.11 ,472.75 
2005-01-25,915.10 ,467.29 
2005-01-26,927.00 ,468.49 
2005-01-27,924.87 ,466.45 
2005-01-28,921.59 ,468.53 
2005-01-31,932.70 ,472.95 
2005-02-01,923.69 ,472.74 
2005-02-02,921.44 ,466.04 
2005-02-03,928.79 ,461.78 
2005-02-04,933.55 ,465.51 
2005-02-07,949.19 ,481.40 
2005-02-11,947.23 ,486.88 
2005-02-14,964.79 ,503.24 
2005-02-15,968.88 ,508.09 
2005-02-16,971.56 ,513.25 
2005-02-17,972.56 ,515.04 
2005-02-18,984.10 ,510.66 
2005-02-21,988.71 ,508.61 
2005-02-22,977.80 ,494.83 
2005-02-23,968.43 ,490.28 
2005-02-24,987.10 ,497.61 
2005-02-25,996.95 ,494.87 
2005-02-28,1011.36 ,498.38 
2005-03-02,1007.48 ,498.55 
2005-03-03,1010.92 ,498.57 
2005-03-04,1012.96 ,501.90 
2005-03-07,1007.50 ,495.32 
2005-03-08,1000.28 ,481.98 
2005-03-09,1008.79 ,481.98 
2005-03-10,998.66 ,482.67 
2005-03-11,1022.79 ,490.74 
2005-03-14,1019.69 ,493.99 
2005-03-15,993.13 ,482.02 
2005-03-16,993.13 ,483.66 
2005-03-17,980.05 ,471.74 
2005-03-18,979.72 ,465.48 
2005-03-21,979.27 ,463.42 
2005-03-22,980.41 ,460.68 
2005-03-23,966.81 ,452.91 
2005-03-24,956.33 ,449.35 
2005-03-25,965.30 ,456.15 
2005-03-28,977.70 ,459.81 
2005-03-29,958.96 ,453.24 
2005-03-30,955.45 ,455.05 
2005-03-31,965.68 ,455.03 
2005-04-01,981.90 ,462.23 
2005-04-04,982.50 ,461.88 
2005-04-06,988.00 ,463.60 
2005-04-07,988.90 ,463.08 
2005-04-08,992.17 ,463.90 
2005-04-11,985.94 ,462.87 
2005-04-12,981.79 ,460.87 
2005-04-13,981.31 ,460.90 
2005-04-14,953.92 ,455.55 
2005-04-15,947.22 ,449.08 
2005-04-18,925.00 ,429.73 
2005-04-19,932.45 ,437.73 
2005-04-20,937.36 ,442.20 
2005-04-21,939.14 ,439.83 
2005-04-22,940.79 ,442.63 
2005-04-25,946.17 ,443.90 
2005-04-26,944.46 ,441.99 
2005-04-27,930.16 ,436.65 
2005-04-28,917.73 ,431.17 
2005-04-29,911.30 ,424.40 
2005-05-02,918.42 ,426.61 
2005-05-03,913.82 ,423.30 
2005-05-04,929.35 ,429.41 
2005-05-06,940.85 ,433.29 
2005-05-09,935.20 ,429.61 
2005-05-10,934.28 ,430.76 
2005-05-11,923.38 ,425.59 
2005-05-12,921.21 ,428.27 
2005-05-13,923.19 ,431.77 
2005-05-16,929.04 ,435.02 
2005-05-17,927.16 ,434.52 
2005-05-18,930.36 ,436.55 
2005-05-19,952.09 ,445.61 
2005-05-20,952.19 ,445.86 
2005-05-23,951.05 ,450.22 
2005-05-24,951.61 ,451.94 
2005-05-25,941.30 ,453.17 
2005-05-26,943.91 ,456.19 
2005-05-27,960.91 ,463.22 
2005-05-30,969.04 ,468.25 
2005-05-31,970.21 ,471.48 
2005-06-01,969.51 ,468.81 
2005-06-02,970.88 ,475.07 
2005-06-03,976.09 ,480.65 
2005-06-07,970.88 ,482.66 
2005-06-08,976.22 ,484.89 
2005-06-09,987.58 ,488.10 
2005-06-10,990.79 ,486.58 
2005-06-13,990.49 ,486.62 
2005-06-14,983.75 ,479.47 
2005-06-15,1001.94 ,486.46 
2005-06-16,1003.14 ,490.22 
2005-06-17,1003.68 ,491.03 
2005-06-20,994.65 ,489.20 
2005-06-21,989.99 ,485.12 
2005-06-22,1002.15 ,489.73 
2005-06-23,1010.80 ,494.92 
2005-06-24,1002.43 ,493.98 
2005-06-27,991.11 ,491.33 
2005-06-28,994.74 ,492.84 
2005-06-29,999.08 ,497.63 
2005-06-30,1008.16 ,503.21 
2005-07-01,1018.02 ,507.51 
2005-07-04,1021.71 ,512.50 
2005-07-05,1018.81 ,513.53 
2005-07-06,1019.01 ,516.41 
2005-07-07,1026.82 ,519.85 
2005-07-08,1021.95 ,518.66 
2005-07-11,1040.43 ,526.10 
2005-07-12,1043.88 ,523.70 
2005-07-13,1050.16 ,521.87 
2005-07-14,1061.93 ,524.37 
2005-07-15,1059.60 ,524.63 
2005-07-18,1062.43 ,527.18 
2005-07-19,1075.48 ,530.63 
2005-07-20,1074.40 ,521.68 
2005-07-21,1074.65 ,520.61 
2005-07-22,1074.22 ,521.51 
2005-07-25,1089.70 ,528.95 
2005-07-26,1090.60 ,532.54 
2005-07-27,1093.03 ,538.60 
2005-07-28,1104.72 ,547.67 
2005-07-29,1111.29 ,546.68 
2005-08-01,1115.98 ,544.83 
2005-08-02,1118.83 ,541.78 
2005-08-03,1117.11 ,532.55 
2005-08-04,1111.39 ,524.63 
2005-08-05,1089.36 ,511.99 
2005-08-08,1086.64 ,507.38 
2005-08-09,1099.77 ,515.54 
2005-08-10,1104.86 ,520.76 
2005-08-11,1123.77 ,524.74 
2005-08-12,1130.22 ,525.64 
2005-08-16,1116.93 ,517.62 
2005-08-17,1113.25 ,513.27 
2005-08-18,1092.71 ,505.06 
2005-08-19,1089.88 ,509.21 
2005-08-22,1116.68 ,518.34 
2005-08-23,1115.84 ,521.38 
2005-08-24,1094.21 ,518.30 
2005-08-25,1097.29 ,517.63 
2005-08-26,1086.55 ,512.17 
2005-08-29,1063.16 ,492.66 
2005-08-30,1072.61 ,497.96 
2005-08-31,1083.33 ,503.95 
2005-09-01,1106.37 ,512.45 
2005-09-02,1115.83 ,517.08 
2005-09-05,1114.50 ,522.79 
2005-09-06,1122.65 ,524.40 
2005-09-07,1142.99 ,530.53 
2005-09-08,1145.26 ,529.30 
2005-09-09,1152.50 ,532.06 
2005-09-12,1158.36 ,532.11 
2005-09-13,1158.12 ,528.02 
2005-09-14,1170.77 ,529.64 
2005-09-15,1169.59 ,526.45 
2005-09-16,1174.13 ,536.60 
2005-09-20,1190.93 ,543.59 
2005-09-21,1196.67 ,542.68 
2005-09-22,1199.97 ,547.01 
2005-09-23,1175.88 ,543.66 
2005-09-26,1206.41 ,550.40 
2005-09-27,1209.63 ,554.63 
2005-09-28,1228.57 ,562.25 
2005-09-29,1231.22 ,568.08 
2005-09-30,1221.01 ,571.95 
2005-10-04,1242.78 ,588.21 
2005-10-05,1227.40 ,592.14 
2005-10-06,1202.49 ,588.52 
2005-10-07,1201.01 ,590.48 
2005-10-10,1227.18 ,603.85 
2005-10-11,1244.27 ,609.58 
2005-10-12,1217.06 ,606.32 
2005-10-13,1193.44 ,606.12 
2005-10-14,1190.17 ,600.04 
2005-10-17,1176.36 ,587.58 
2005-10-18,1186.22 ,591.77 
2005-10-19,1153.13 ,573.19 
2005-10-20,1162.23 ,574.61 
2005-10-21,1183.48 ,584.42 
2005-10-24,1184.60 ,592.18 
2005-10-25,1181.28 ,593.79 
2005-10-26,1179.00 ,594.58 
2005-10-27,1166.36 ,588.29 
2005-10-28,1140.72 ,580.92 
2005-10-31,1158.11 ,587.46 
2005-11-01,1188.95 ,594.82 
2005-11-02,1208.38 ,606.80 
2005-11-03,1217.97 ,610.37 
2005-11-04,1221.98 ,617.43 
2005-11-07,1218.47 ,622.59 
2005-11-08,1226.71 ,623.75 
2005-11-09,1227.59 ,628.72 
2005-11-10,1234.43 ,636.73 
2005-11-11,1256.12 ,640.40 
2005-11-14,1257.63 ,642.61 
2005-11-15,1253.86 ,643.85 
2005-11-16,1267.16 ,648.13 
2005-11-17,1269.35 ,653.50 
2005-11-18,1272.25 ,661.42 
2005-11-21,1268.80 ,666.04 
2005-11-22,1244.50 ,667.71 
2005-11-23,1282.02 ,682.27 
2005-11-24,1291.71 ,690.87 
2005-11-25,1293.22 ,700.22 
2005-11-28,1293.74 ,704.47 
2005-11-29,1279.38 ,697.05 
2005-11-30,1297.44 ,712.39 
2005-12-01,1305.98 ,727.43 
2005-12-02,1310.12 ,733.87 
2005-12-05,1315.15 ,747.46 
2005-12-06,1321.06 ,747.96 
2005-12-07,1324.75 ,729.44 
2005-12-08,1324.20 ,725.85 
2005-12-09,1317.42 ,726.14 
2005-12-12,1333.23 ,733.42 
2005-12-13,1336.48 ,738.99 
2005-12-14,1334.27 ,743.41 
2005-12-15,1337.68 ,741.60 
2005-12-16,1321.04 ,716.38 
2005-12-19,1339.40 ,723.37 
2005-12-20,1341.00 ,718.74 
2005-12-21,1354.16 ,722.58 
2005-12-22,1350.87 ,694.25 
2005-12-23,1359.53 ,691.23 
2005-12-26,1367.57 ,698.60 
2005-12-27,1373.55 ,688.23 
2005-12-28,1368.16 ,691.26 
2005-12-29,1379.37 ,701.79 
2005-12-30,,
2006-01-02,1389.27 ,727.07 
2006-01-03,1394.87 ,735.15 
2006-01-04,1402.11 ,740.48 
2006-01-05,1395.51 ,736.66 
2006-01-06,1412.78 ,747.10 
2006-01-09,1408.33 ,753.88 
2006-01-10,1396.29 ,744.71 
2006-01-11,1394.09 ,744.17 
2006-01-12,1402.58 ,742.07 
2006-01-13,1416.28 ,746.34 
2006-01-16,1421.79 ,754.97 
2006-01-17,1389.58 ,739.10 
2006-01-18,1352.91 ,708.08 
2006-01-19,1360.64 ,705.57 
2006-01-20,1324.78 ,665.31 
2006-01-23,1297.43 ,601.33 
2006-01-24,1326.83 ,618.18 
2006-01-25,1342.59 ,641.97 
2006-01-26,1352.75 ,653.52 
